Bank Name,city,stalp,zip,RepDte,Reporting Year,Employees,Total Assets(000),CashBalance(000),Total Liabilities/Capital (000),Liabilities(000),Deposits
INSTITUTION FOR SAVINGS IN NEWBURYPORT AND ITS VICINITY,Newburyport,MA,1950,9/30/2021,2021,181,4347726,324801,4347726,3837283,3352364
INTERAUDI BANK,New York,NY,10022,9/30/2019,2019,106,2051738,667241,2051738,1881347,1760221
INTERAUDI BANK,New York,NY,10022,9/30/2020,2020,106,2093736,661959,2093736,1914041,1789433
INTERAUDI BANK,New York,NY,10022,9/30/2021,2021,112,2297961,906140,2297961,2111648,1988812
INTERNATIONAL BANK OF CHICAGO,Chicago,IL,60640,9/30/2019,2019,110,648663,40085,648663,566147,552456
INTERNATIONAL BANK OF CHICAGO,Chicago,IL,60640,9/30/2020,2020,122,754137,26906,754137,668901,617269
INTERNATIONAL BANK OF CHICAGO,Chicago,IL,60640,9/30/2021,2021,117,836562,36569,836562,739106,719590
INTERNATIONAL CITY BANK FEDERAL SAVINGS BANK,Long Beach,CA,90802,9/30/2019,2019,42,327171,5874,327171,286656,228905
INTERNATIONAL CITY BANK FEDERAL SAVINGS BANK,Long Beach,CA,90802,9/30/2020,2020,42,440906,2429,440906,384514,313058
INTERNATIONAL CITY BANK FEDERAL SAVINGS BANK,Long Beach,CA,90802,9/30/2021,2021,43,512969,4624,512969,440933,311554
IPAVA STATE BANK,Ipava,IL,61441,9/30/2019,2019,34,142482,12304,142482,129678,129227
IPAVA STATE BANK,Ipava,IL,61441,9/30/2020,2020,36,181697,38533,181697,167242,166743
IPAVA STATE BANK,Ipava,IL,61441,9/30/2021,2021,37,189028,42180,189028,173000,172426
IROQUOIS FARMERS STATE BANK,Iroquois,IL,60945,9/30/2019,2019,24,113303,13697,113304,102802,102190
IROQUOIS FARMERS STATE BANK,Iroquois,IL,60945,9/30/2020,2020,26,120550,12202,120550,109696,109072
IROQUOIS FARMERS STATE BANK,Iroquois,IL,60945,9/30/2021,2021,25,140337,11321,140337,129225,128604
IROQUOIS FEDERAL SAVINGS AND LOAN ASSOCIATION,Watseka,IL,60970,9/30/2019,2019,105,678205,12376,678204,600148,559598
IROQUOIS FEDERAL SAVINGS AND LOAN ASSOCIATION,Watseka,IL,60970,9/30/2020,2020,109,726004,18696,726004,643889,605145
IROQUOIS FEDERAL SAVINGS AND LOAN ASSOCIATION,Watseka,IL,60970,9/30/2021,2021,110,767055,31161,767055,685373,643910
ISRAEL DISCOUNT BANK OF NEW YORK,New York,NY,10017,9/30/2019,2019,581,9701571,101114,9701571,8650043,7914537
ISRAEL DISCOUNT BANK OF NEW YORK,New York,NY,10017,9/30/2020,2020,562,10669451,322188,10669451,9529462,8783160
ISRAEL DISCOUNT BANK OF NEW YORK,New York,NY,10036,9/30/2021,2021,557,11724992,565007,11724992,10589426,10233912
ITASCA BANK & TRUST CO.,Itasca,IL,60143,9/30/2019,2019,95,579164,70426,579164,522894,520490
ITASCA BANK & TRUST CO.,Itasca,IL,60143,9/30/2020,2020,94,696246,32236,696246,633248,591858
ITASCA BANK & TRUST CO.,Itasca,IL,60143,9/30/2021,2021,95,734832,35396,734832,669382,663985
JEFF BANK,Jeffersonville,NY,12748,9/30/2019,2019,126,512116,72350,512115,454220,447620
JEFF BANK,Jeffersonville,NY,12748,9/30/2020,2020,122,594735,110065,594734,533099,526803
JEFF BANK,Jeffersonville,NY,12748,9/30/2021,2021,115,681801,165330,681801,616857,609982
JERSEY STATE BANK,Jerseyville,IL,62052,9/30/2019,2019,31,154917,13771,154917,132939,130445
JERSEY STATE BANK,Jerseyville,IL,62052,9/30/2020,2020,32,188508,35983,188508,164703,157662
JERSEY STATE BANK,Jerseyville,IL,62052,9/30/2021,2021,29,179611,29439,179611,155196,152614
KINMUNDY BANK,Kinmundy,IL,62854,9/30/2019,2019,9,48574,1669,48574,41929,41795
KINMUNDY BANK,Kinmundy,IL,62854,9/30/2020,2020,9,53123,2332,53123,45832,45701
KINMUNDY BANK,Kinmundy,IL,62854,9/30/2021,2021,8,59077,9358,59077,51201,51092
LA SALLE STATE BANK,La Salle,IL,61301,9/30/2019,2019,31,141089,6009,141089,127304,97330
LA SALLE STATE BANK,La Salle,IL,61301,9/30/2020,2020,30,155715,22852,155716,139971,103944
LA SALLE STATE BANK,La Salle,IL,61301,9/30/2021,2021,28,182584,16284,182584,166343,126037
"LAKE FOREST BANK & TRUST COMPANY, NATIONAL ASSOCIATION",Lake Forest,IL,60045,9/30/2019,2019,505,4296635,374376,4296635,3847528,3416604
"LAKE FOREST BANK & TRUST COMPANY, NATIONAL ASSOCIATION",Lake Forest,IL,60045,9/30/2020,2020,565,5427430,609968,5427430,4934509,4250743
"LAKE FOREST BANK & TRUST COMPANY, NATIONAL ASSOCIATION",Lake Forest,IL,60045,9/30/2021,2021,565,6048383,858574,6048383,5453886,4820415
LAKE SHORE SAVINGS BANK,Dunkirk,NY,14048,9/30/2019,2019,113,596896,20516,596896,518417,475039
LAKE SHORE SAVINGS BANK,Dunkirk,NY,14048,9/30/2020,2020,113,682763,71096,682763,601463,559369
LAKE SHORE SAVINGS BANK,Dunkirk,NY,14048,9/30/2021,2021,111,708725,60721,708725,625416,594809
LAKESIDE BANK,Chicago,IL,60601,9/30/2019,2019,170,1775819,170360,1775819,1571073,1442343
LAKESIDE BANK,Chicago,IL,60601,9/30/2020,2020,174,2084252,298146,2084252,1876667,1743832
LAKESIDE BANK,Chicago,IL,60601,9/30/2021,2021,187,2298808,399799,2298808,2075765,1953118
"LEADER BANK, NATIONAL ASSOCIATION",Arlington,MA,2476,9/30/2019,2019,239,1545344,84056,1545344,1369287,1187348
"LEADER BANK, NATIONAL ASSOCIATION",Arlington,MA,2476,9/30/2020,2020,300,1999550,136109,1999550,1773901,1593616
"LEADER BANK, NATIONAL ASSOCIATION",Arlington,MA,2474,9/30/2021,2021,392,2774556,161222,2774556,2427119,2328944
LEE BANK,Lee,MA,1238,9/30/2019,2019,76,400354,16211,400354,366071,329650
LEE BANK,Lee,MA,1238,9/30/2020,2020,79,448584,45357,448584,412266,381657
LEE BANK,Lee,MA,1238,9/30/2021,2021,75,514282,62917,514282,473798,452513
LEGENCE BANK,Eldorado,IL,62930,9/30/2019,2019,148,477198,22932,477199,421474,416279
LEGENCE BANK,Eldorado,IL,62930,9/30/2020,2020,136,576756,37647,576756,513965,502863
LEGENCE BANK,Eldorado,IL,62930,9/30/2021,2021,160,627646,76469,627646,557272,548305
LENA STATE BANK,Lena,IL,61048,9/30/2019,2019,11,89929,4089,89929,78893,77282
LENA STATE BANK,Lena,IL,61048,9/30/2020,2020,10,94220,3538,94220,82811,78250
LENA STATE BANK,Lena,IL,61048,9/30/2021,2021,9,96065,10685,96065,84470,84002
LIBERTY BANK,Liberty,IL,62347,9/30/2019,2019,26,101240,12324,101240,88605,87445
LIBERTY BANK,South San Franci,CA,94080,9/30/2019,2019,45,271168,11587,271168,235405,233789
LIBERTY BANK,Liberty,IL,62347,9/30/2020,2020,26,114870,23187,114870,101112,100017
LIBERTY BANK,South San Franci,CA,94080,9/30/2020,2020,44,300029,34517,300029,263975,262520
LIBERTY BANK,Liberty,IL,62347,9/30/2021,2021,26,124883,26527,124883,110206,109062
LIBERTY BANK,South San Franci,CA,94080,9/30/2021,2021,41,298232,27936,298232,261964,260854
LIBERTY BANK FOR SAVINGS,Chicago,IL,60647,9/30/2019,2019,102,825661,3098,825661,626568,617062
LIBERTY BANK FOR SAVINGS,Chicago,IL,60647,9/30/2020,2020,104,868509,24684,868508,662475,651019
LIBERTY BANK FOR SAVINGS,Chicago,IL,60647,9/30/2021,2021,101,901046,4183,901046,695311,684231
LIBERTYVILLE BANK & TRUST COMPANY,Libertyville,IL,60048,9/30/2019,2019,99,1684632,63792,1684632,1519838,1423712
"LIBERTYVILLE BANK & TRUST COMPANY, NATIONAL ASSOCIATION",Libertyville,IL,60048,9/30/2020,2020,98,2044230,271686,2044230,1873699,1709106
"LIBERTYVILLE BANK & TRUST COMPANY, NATIONAL ASSOCIATION",Libertyville,IL,60048,9/30/2021,2021,81,2249267,259551,2249267,2057555,1898251
LIGHTHOUSE BANK,Santa Cruz,CA,95060,9/30/2019,2019,31,321822,73588,321822,278958,276995
LINCOLNWAY COMMUNITY BANK,New Lenox,IL,60451,9/30/2019,2019,34,225194,37932,225194,199125,197452
LINCOLNWAY COMMUNITY BANK,New Lenox,IL,60451,9/30/2020,2020,35,257306,40180,257306,227916,226013
LINCOLNWAY COMMUNITY BANK,New Lenox,IL,60451,9/30/2021,2021,34,278430,77568,278430,247602,245158
LISLE SAVINGS BANK,Lisle,IL,60532,9/30/2019,2019,60,505730,28131,505730,379238,372276
LISLE SAVINGS BANK,Lisle,IL,60532,9/30/2020,2020,57,577252,42416,577252,445031,404129
LISLE SAVINGS BANK,Lisle,IL,60532,9/30/2021,2021,60,606739,27101,606739,470338,428113
LONGVIEW BANK,Ogden,IL,61859,9/30/2019,2019,42,207404,25816,207404,188166,186017
LONGVIEW BANK,Ogden,IL,61859,9/30/2020,2020,42,218608,33609,218608,199481,195223
LONGVIEW BANK,Ogden,IL,61859,9/30/2021,2021,43,255774,64036,255774,234896,233814
LONGVIEW BANK AND TRUST,Chrisman,IL,61924,9/30/2019,2019,39,186586,41640,186586,169981,165990
LONGVIEW BANK AND TRUST,Chrisman,IL,61924,9/30/2020,2020,39,202599,39664,202599,184863,176660
LONGVIEW BANK AND TRUST,Chrisman,IL,61924,9/30/2021,2021,42,219970,45011,219970,200133,196145
LOOMIS FEDERAL SAVINGS AND LOAN ASSOCIATION,Chicago,IL,60638,9/30/2019,2019,15,61513,27404,61513,43606,43399
LOOMIS FEDERAL SAVINGS AND LOAN ASSOCIATION,Chicago,IL,60638,9/30/2020,2020,14,63878,28880,63878,49561,43701
LUTHER BURBANK SAVINGS,Santa Rosa,CA,95401,9/30/2019,2019,274,7158637,167365,7158637,6412870,5403809
LUTHER BURBANK SAVINGS,Santa Rosa,CA,95401,9/30/2020,2020,282,7067694,214065,7067694,6316417,5314445
LUTHER BURBANK SAVINGS,Santa Rosa,CA,95401,9/30/2021,2021,277,7217866,131225,7217866,6430109,5641588
"M.Y. SAFRA BANK, FSB",New York,NY,10022,9/30/2019,2019,25,431856,23617,431856,379988,377075
"M.Y. SAFRA BANK, FSB",New York,NY,10022,9/30/2020,2020,28,363513,48388,363513,318978,313856
"M.Y. SAFRA BANK, FSB",New York,NY,10022,9/30/2021,2021,24,382989,95609,382989,340262,333363
MAHOPAC BANK,Mahopac,NY,10541,9/30/2019,2019,118,1341751,27502,1341751,1204908,1090303
MAHOPAC BANK,Mahopac,NY,10541,9/30/2020,2020,118,1615134,139034,1615134,1468257,1395572
MAHOPAC BANK,Mahopac,NY,10541,9/30/2021,2021,112,1663906,146275,1663906,1514524,1465877
MAIN STREET BANK,Marlborough,MA,1752,9/30/2019,2019,175,1032828,49159,1032828,907648,823490
MAIN STREET BANK,Marlborough,MA,1752,9/30/2020,2020,179,1192676,50365,1192676,1060898,969143
MAIN STREET BANK,Marlborough,MA,1752,9/30/2021,2021,174,1317892,85518,1317892,1180051,1122226
MALAGA BANK F.S.B.,Palos Verdes Pen,CA,90274,9/30/2019,2019,76,1231343,24225,1231343,1077915,779326
MALAGA BANK F.S.B.,Palos Verdes Pen,CA,90274,9/30/2020,2020,72,1282413,10157,1282413,1118409,814275
MALAGA BANK F.S.B.,Palos Verdes Pen,CA,90274,9/30/2021,2021,72,1427795,158339,1427795,1252027,974000
MANSFIELD CO-OPERATIVE BANK,Mansfield,MA,2048,9/30/2019,2019,84,527235,50088,527235,471036,423975
MANSFIELD CO-OPERATIVE BANK,Mansfield,MA,2048,9/30/2020,2020,79,592070,106202,592069,532884,503346
MANUFACTURERS AND TRADERS TRUST COMPANY,Buffalo,NY,14203,9/30/2019,2019,16885,125040594,14244075,125040594,109814856,96701239
MANUFACTURERS AND TRADERS TRUST COMPANY,Buffalo,NY,14203,9/30/2020,2020,16323,138246208,21603178,138246208,122347524,116427052
MANUFACTURERS AND TRADERS TRUST COMPANY,Buffalo,NY,14203,9/30/2021,2021,16441,151507667,39834226,151507667,135032604,130812096
MANUFACTURERS BANK,Los Angeles,CA,90071,9/30/2019,2019,283,4491983,1694629,4491983,4116403,3897592
MANUFACTURERS BANK,Los Angeles,CA,90071,9/30/2020,2020,284,4011529,705975,4011529,3624017,3160712
MANUFACTURERS BANK,Los Angeles,CA,90071,9/30/2021,2021,331,3866706,1100387,3866706,3469488,3146038
"MAPLE CITY SAVINGS BANK, FSB",Hornell,NY,14843,9/30/2019,2019,29,84221,2952,84221,76148,69306
"MAPLE CITY SAVINGS BANK, FSB",Hornell,NY,14843,9/30/2020,2020,27,93935,2766,93935,85224,78416
"MAPLE CITY SAVINGS BANK, FSB",Hornell,NY,14843,9/30/2021,2021,29,103244,4299,103244,93339,88938
MARBLEHEAD BANK,Marblehead,MA,1945,9/30/2019,2019,49,214934,9518,214934,195574,182247
MARBLEHEAD BANK,Marblehead,MA,1945,9/30/2020,2020,50,244421,30026,244421,225179,218636
MARBLEHEAD BANK,Marblehead,MA,1945,9/30/2021,2021,50,285339,78936,285339,265945,258267
MARINE BANK,Springfield,IL,62704,9/30/2019,2019,201,630735,50462,630735,557505,537011
MARINE BANK,Springfield,IL,62704,9/30/2020,2020,189,684159,87226,684159,608579,582254
MARINE BANK,Springfield,IL,62704,9/30/2021,2021,185,720191,148367,720191,646175,608428
MARQUETTE BANK,Chicago,IL,60636,9/30/2019,2019,339,1598767,60786,1598767,1421292,1351416
MARQUETTE BANK,Chicago,IL,60636,9/30/2020,2020,332,1796031,53024,1796031,1616805,1525539
MARQUETTE BANK,Chicago,IL,60636,9/30/2021,2021,305,1980279,94897,1980279,1800065,1696186
MARSEILLES BANK,Marseilles,IL,61341,9/30/2019,2019,9,63549,1625,63549,56983,56469
MARSEILLES BANK,Marseilles,IL,61341,9/30/2020,2020,9,66082,4949,66082,59060,58697
MARSEILLES BANK,Marseilles,IL,61341,9/30/2021,2021,11,72714,3093,72714,66121,65818
MARTHA'S VINEYARD BANK,Edgartown,MA,2539,9/30/2021,2021,102,1204459,84678,1204459,1083650,1029652
MARTHA'S VINEYARD SAVINGS BANK,Edgartown,MA,2539,9/30/2019,2019,107,832109,36416,832109,724779,674360
MARTHA'S VINEYARD SAVINGS BANK,Edgartown,MA,2539,9/30/2020,2020,104,1030389,103155,1030389,916027,854164
MASON CITY NATIONAL BANK,Mason City,IL,62664,9/30/2019,2019,10,71539,3465,71539,58423,58352
MASON CITY NATIONAL BANK,Mason City,IL,62664,9/30/2020,2020,10,73237,4387,73237,59477,59409
MASON CITY NATIONAL BANK,Mason City,IL,62664,9/30/2021,2021,10,85964,13238,85964,72105,71725
MASPETH FEDERAL SAVINGS AND LOAN ASSOCIATION,Maspeth,NY,11378,9/30/2019,2019,199,1966997,112044,1966997,1327672,1270228
MASPETH FEDERAL SAVINGS AND LOAN ASSOCIATION,Maspeth,NY,11378,9/30/2020,2020,196,2027347,183498,2027347,1371444,1332546
MASPETH FEDERAL SAVINGS AND LOAN ASSOCIATION,Maspeth,NY,11378,9/30/2021,2021,196,2167530,280369,2167530,1489944,1450723
MASSENA SAVINGS AND LOAN,Massena,NY,13662,9/30/2019,2019,24,165513,5118,165513,143450,117091
MASSENA SAVINGS AND LOAN,Massena,NY,13662,9/30/2020,2020,26,179892,20964,179892,156997,128608
MASSENA SAVINGS AND LOAN,Massena,NY,13662,9/30/2021,2021,24,179437,23367,179437,155710,134320
MCHENRY SAVINGS BANK,Mchenry,IL,60050,9/30/2019,2019,51,230251,8648,230251,208386,185120
MCHENRY SAVINGS BANK,Mchenry,IL,60050,9/30/2020,2020,48,261641,12620,261641,239365,215910
MCHENRY SAVINGS BANK,Mchenry,IL,60050,9/30/2021,2021,51,272760,9821,272760,247738,230754
MECHANICS BANK,Walnut Creek,CA,94596,9/30/2019,2019,2338,17299341,2142787,17299341,15036173,14668158
MECHANICS BANK,Walnut Creek,CA,94596,9/30/2020,2020,1962,18539337,918271,18539337,16116245,15773408
MECHANICS BANK,Walnut Creek,CA,94596,9/30/2021,2021,1808,19052469,955488,19052469,16646293,16351217
MECHANICS COOPERATIVE BANK,Taunton,MA,2780,9/30/2019,2019,98,611946,13759,611945,551570,446631
MECHANICS COOPERATIVE BANK,Taunton,MA,2780,9/30/2020,2020,98,665598,18869,665598,598725,505166
MECHANICS COOPERATIVE BANK,Taunton,MA,2780,9/30/2021,2021,96,664786,42133,664786,589328,543218
MEGA BANK,San Gabriel,CA,91776,9/30/2019,2019,45,349914,40510,349914,305971,280041
MEGA BANK,San Gabriel,CA,91776,9/30/2020,2020,43,403634,44701,403634,360094,306613
MEGA BANK,San Gabriel,CA,91776,9/30/2021,2021,46,450314,74609,450314,402291,379561
MELROSE BANK,Melrose,MA,2176,9/30/2019,2019,29,336852,15052,336852,305901,273047
MERCHANTS AND MANUFACTURERS BANK,Joliet,IL,60432,9/30/2019,2019,42,283490,21265,283490,260963,224737
MERCHANTS AND MANUFACTURERS BANK,Joliet,IL,60432,9/30/2020,2020,43,329089,24580,329089,304953,248408
MERCHANTS AND MANUFACTURERS BANK,Joliet,IL,60432,9/30/2021,2021,45,351676,21934,351676,323103,291491
MERCHANTS BANK OF COMMERCE,Redding,CA,96002,9/30/2019,2019,209,1471733,88604,1471733,1283539,1266528
MERCHANTS BANK OF COMMERCE,Redding,CA,96002,9/30/2020,2020,205,1739269,127882,1739269,1549315,1522475
MERCHANTS BANK OF COMMERCE,Sacramento,CA,95814,9/30/2021,2021,186,1950857,155181,1950857,1753965,1739007
METHUEN CO-OPERATIVE BANK,Methuen,MA,1844,9/30/2019,2019,16,93241,21482,93241,83335,83187
METHUEN CO-OPERATIVE BANK,Methuen,MA,1844,9/30/2020,2020,16,105495,24899,105495,95248,95099
METHUEN CO-OPERATIVE BANK,Methuen,MA,1844,9/30/2021,2021,17,119045,25077,119045,108385,108196
METROPOLITAN BANK,Oakland,CA,94606,9/30/2019,2019,40,179772,30033,179772,158432,150527
METROPOLITAN BANK,Oakland,CA,94606,9/30/2020,2020,41,187854,32640,187854,165391,151617
METROPOLITAN BANK,Oakland,CA,94606,9/30/2021,2021,42,206436,22610,206436,183054,168874
METROPOLITAN BANK AND TRUST COMPANY,New York,NY,10022,9/30/2019,2019,6,32809,19771,32809,32809,10158
METROPOLITAN BANK AND TRUST COMPANY,New York,NY,10022,9/30/2020,2020,7,40132,28211,40132,40132,9818
METROPOLITAN BANK AND TRUST COMPANY,New York,NY,10022,9/30/2021,2021,7,31483,18614,31483,31483,10266
METROPOLITAN CAPITAL BANK & TRUST,Chicago,IL,60611,9/30/2019,2019,35,229942,65832,229942,208397,202602
METROPOLITAN CAPITAL BANK & TRUST,Chicago,IL,60611,9/30/2020,2020,41,228475,65619,228475,207875,198185
METROPOLITAN CAPITAL BANK & TRUST,Chicago,IL,60611,9/30/2021,2021,40,267575,57777,267575,245763,241400
METROPOLITAN COMMERCIAL BANK,New York,NY,10016,9/30/2019,2019,166,3241096,435440,3241096,2908812,2723242
METROPOLITAN COMMERCIAL BANK,New York,NY,10016,9/30/2020,2020,178,4000306,767904,4000306,3627863,3548522
METROPOLITAN COMMERCIAL BANK,New York,NY,10016,9/30/2021,2021,228,6139561,1857480,6139561,5585278,5512262
MIDAMERICA NATIONAL BANK,Canton,IL,61520,9/30/2019,2019,114,424293,29219,424293,368622,363346
MIDAMERICA NATIONAL BANK,Canton,IL,61520,9/30/2020,2020,114,464486,10382,464486,405120,393013
MIDAMERICA NATIONAL BANK,Canton,IL,61520,9/30/2021,2021,115,525562,21790,525562,462309,451037
"MIDDLESEX FEDERAL SAVINGS, F.A.",Somerville,MA,2144,9/30/2019,2019,56,426095,22960,426095,386833,332983
"MIDDLESEX FEDERAL SAVINGS, F.A.",Somerville,MA,2144,9/30/2020,2020,58,461528,22407,461527,422518,344680
"MIDDLESEX FEDERAL SAVINGS, F.A.",Somerville,MA,2144,9/30/2021,2021,71,574466,47449,574466,532267,492533
MIDDLESEX SAVINGS BANK,Natick,MA,1760,9/30/2019,2019,518,4941035,120241,4941035,4285271,4205246
MIDDLESEX SAVINGS BANK,Natick,MA,1760,9/30/2020,2020,526,5642748,371579,5642748,4957183,4855492
MIDDLESEX SAVINGS BANK,Natick,MA,1760,9/30/2021,2021,506,6032158,366934,6032158,5339530,5255220
MIDDLETOWN STATE BANK,Middletown,IL,62666,9/30/2019,2019,7,37432,1511,37432,33900,32856
MIDDLETOWN STATE BANK,Middletown,IL,62666,9/30/2020,2020,7,40837,1774,40837,37297,34757
MIDDLETOWN STATE BANK,Middletown,IL,62666,9/30/2021,2021,7,42057,1004,42057,38462,36181
MIDLAND COMMUNITY BANK,Kincaid,IL,62540,9/30/2019,2019,14,62373,3145,62373,55386,55113
MIDLAND COMMUNITY BANK,Kincaid,IL,62540,9/30/2020,2020,14,75236,4509,75236,67020,62515
MIDLAND COMMUNITY BANK,Kincaid,IL,62540,9/30/2021,2021,13,77680,3098,77680,68768,68441
MIDLAND FEDERAL SAVINGS AND LOAN ASSOCIATION,Bridgeview,IL,60455,9/30/2019,2019,30,115745,26518,115745,104631,103902
MIDLAND FEDERAL SAVINGS AND LOAN ASSOCIATION,Bridgeview,IL,60455,9/30/2020,2020,28,119033,29131,119033,108302,107507
MIDLAND FEDERAL SAVINGS AND LOAN ASSOCIATION,Bridgeview,IL,60455,9/30/2021,2021,26,126618,39541,126618,116894,116208
MIDLAND STATES BANK,Effingham,IL,62401,9/30/2019,2019,1047,5712771,323248,5712771,4939848,4183557
MIDLAND STATES BANK,Effingham,IL,62401,9/30/2020,2020,935,6691009,456529,6691009,5925973,5092864
MIDLAND STATES BANK,Effingham,IL,62401,9/30/2021,2021,903,7083098,655479,7083098,6284874,5639110
MIDWEST BANK,Monmouth,IL,61462,9/30/2019,2019,135,522253,12598,522253,457090,390873
MIDWEST BANK,Monmouth,IL,61462,9/30/2020,2020,129,579097,30890,579097,510023,436776
MIDWEST BANK,Monmouth,IL,61462,9/30/2021,2021,126,647132,21498,647132,573821,505059
MIDWEST COMMUNITY BANK,Freeport,IL,61032,9/30/2019,2019,179,246284,13345,246284,216543,215122
MIDWEST COMMUNITY BANK,Freeport,IL,61032,9/30/2020,2020,229,381225,19814,381225,339808,337966
MIDWEST COMMUNITY BANK,Freeport,IL,61032,9/30/2021,2021,258,352943,41163,352943,298645,295824
MILFORD BUILDING AND LOAN ASSOCIATION,Milford,IL,60953,9/30/2019,2019,4,30141,8951,30141,27466,27205
MILFORD BUILDING AND LOAN ASSOCIATION,Milford,IL,60953,9/30/2020,2020,4,30934,10067,30933,28161,27964
MILFORD BUILDING AND LOAN ASSOCIATION,Milford,IL,60953,9/30/2021,2021,4,31962,10852,31962,29018,28829
MILFORD FEDERAL BANK,Milford,MA,1757,9/30/2019,2019,81,418574,24444,418575,369263,338970
MILFORD FEDERAL BANK,Milford,MA,1757,9/30/2020,2020,78,438362,45544,438362,387501,366901
MILFORD FEDERAL BANK,Milford,MA,1757,9/30/2021,2021,80,456763,38476,456763,403983,388575
MILLBURY NATIONAL BANK,Millbury,MA,1527,9/30/2019,2019,18,95833,7512,95833,86342,83355
MILLBURY NATIONAL BANK,Millbury,MA,1527,9/30/2020,2020,19,101509,14340,101509,91990,88508
MILLBURY NATIONAL BANK,Millbury,MA,1527,9/30/2021,2021,20,107324,14036,107324,97311,94436
MILLBURY SAVINGS BANK,Millbury,MA,1527,9/30/2019,2019,34,221173,3327,221174,191079,180251
MILLEDGEVILLE STATE BANK,Milledgeville,IL,61051,9/30/2019,2019,14,148605,12552,148605,131440,106471
MILLEDGEVILLE STATE BANK,Milledgeville,IL,61051,9/30/2020,2020,13,155194,13714,155194,136930,113438
MILLEDGEVILLE STATE BANK,Milledgeville,IL,61051,9/30/2021,2021,13,166915,16244,166915,147398,122871
MILLENNIUM BANK,Des Plaines,IL,60016,9/30/2019,2019,28,144864,24614,144864,128532,127020
MILLENNIUM BANK,Des Plaines,IL,60016,9/30/2020,2020,32,217453,35510,217453,196423,184577
MILLENNIUM BANK,Des Plaines,IL,60016,9/30/2021,2021,35,295401,108598,295401,266493,259643
MISSION BANK,Bakersfield,CA,93301,9/30/2019,2019,110,800373,99731,800373,724697,717555
MISSION BANK,Bakersfield,CA,93301,9/30/2020,2020,116,1184229,220203,1184229,1082301,1062916
MISSION BANK,Bakersfield,CA,93301,9/30/2021,2021,113,1457840,308069,1457840,1327503,1312781
MISSION NATIONAL BANK,San Francisco,CA,94103,9/30/2019,2019,48,243059,42912,243059,211047,208818
MISSION NATIONAL BANK,San Francisco,CA,94103,9/30/2020,2020,47,243906,58701,243906,206272,193039
MISSION NATIONAL BANK,San Francisco,CA,94103,9/30/2021,2021,40,220168,67649,220168,183529,179715
MISSION VALLEY BANK,Sun Valley,CA,91352,9/30/2019,2019,61,338294,27704,338294,297281,291355
MISSION VALLEY BANK,Sun Valley,CA,91352,9/30/2020,2020,62,465780,79793,465780,422117,374274
MISSION VALLEY BANK,Sun Valley,CA,91352,9/30/2021,2021,72,442210,90490,442210,392681,352672
"MIZRAHI TEFAHOT BANK, LTD.",Los Angeles,CA,90017,9/30/2019,2019,351,2545052,1792406,2545052,2545052,946512
"MIZRAHI TEFAHOT BANK, LTD.",Los Angeles,CA,90017,9/30/2020,2020,389,4250575,3446453,4250575,4250575,819289
"MIZRAHI TEFAHOT BANK, LTD.",Los Angeles,CA,90017,9/30/2021,2021,150,2373622,1462673,2373622,2373622,836194
MIZUHO BANK (USA),New York,NY,10020,9/30/2019,2019,189,6072448,749270,6072448,4632402,3678555
MIZUHO BANK (USA),New York,NY,10020,9/30/2020,2020,139,7960812,1195378,7960812,6498906,4471685
MIZUHO BANK (USA),New York,NY,10020,9/30/2021,2021,129,7373011,1106759,7373011,5885064,3917285
"MODERN BANK, NATIONAL ASSOCIATION",New York,NY,10022,9/30/2019,2019,38,782683,41763,782683,698431,578421
"MODERN BANK, NATIONAL ASSOCIATION",New York,NY,10022,9/30/2020,2020,44,886060,17352,886060,805051,571578
"MODERN BANK, NATIONAL ASSOCIATION",New York,NY,10022,9/30/2021,2021,50,789806,25557,789806,703336,563236
MONSON SAVINGS BANK,Monson,MA,1057,9/30/2019,2019,82,436179,25865,436179,395228,384558
MONSON SAVINGS BANK,Monson,MA,1057,9/30/2020,2020,89,504182,34716,504182,459185,447738
MONSON SAVINGS BANK,Monson,MA,1057,9/30/2021,2021,88,571585,79920,571585,521009,513002
MONTECITO BANK & TRUST,Santa Barbara,CA,93101,9/30/2019,2019,231,1537912,28877,1537912,1362983,1343070
MONTECITO BANK & TRUST,Santa Barbara,CA,93101,9/30/2020,2020,242,1885633,83082,1885633,1698260,1664089
MONTECITO BANK & TRUST,Santa Barbara,CA,93101,9/30/2021,2021,258,2290165,282347,2290165,2099609,2074662
MONTEREY COUNTY BANK,Monterey,CA,93940,9/30/2019,2019,43,171551,20041,171551,153582,142538
MONTEREY COUNTY BANK,Monterey,CA,93940,9/30/2020,2020,44,210911,37603,210911,191284,165770
MONTEREY COUNTY BANK,Monterey,CA,93940,9/30/2021,2021,38,245423,44474,245423,225171,206250
"MORGAN STANLEY PRIVATE BANK, NATIONAL ASSOCIATION",Purchase,NY,10577,9/30/2019,2019,763,78786000,2940000,78786000,70505000,69776000
"MORGAN STANLEY PRIVATE BANK, NATIONAL ASSOCIATION",Purchase,NY,10577,9/30/2020,2020,816,110164000,10530000,110164000,101662000,97147000
"MORGAN STANLEY PRIVATE BANK, NATIONAL ASSOCIATION",Purchase,NY,10577,9/30/2021,2021,945,144423000,8004000,144423000,134473000,115444000
MORTON COMMUNITY BANK,Morton,IL,61550,9/30/2019,2019,414,3870859,178819,3870859,3448778,3021460
